,City,Temperature,Humidity,Cloudiness,Wind Speed,Latitude
0,Santa Cruz de la Sierra,71.6,88,75,5.82,-17.8
1,Busselton,62.01,59,42,9.37,-33.65
2,Yashan,92.26,53,46,6.51,22.2
3,Luanda,71.6,78,75,3.36,-8.84
4,Aswān,85.28,21,28,8.55,24.09
5,Barrow,39.2,93,90,5.82,71.29
6,Curuguaty,65.62,59,0,5.08,-24.47
7,Esperance,55.4,82,90,4.7,-33.87
8,Hermanus,53.01,78,0,3.0,-34.42
9,Bluff,46.94,72,100,26.15,-46.6
10,Kampong Cham,82.36,79,98,4.14,11.99
11,Tolaga Bay,55.36,52,22,6.02,-38.37
12,Mandalgovi,83.82,29,17,14.43,45.76
13,Torbay,63.0,87,90,16.11,47.67
14,Laguna,79.0,47,1,12.33,38.42
15,Alihe,96.31,27,74,5.19,50.57
16,Bandi̇̄pur,70.39,100,94,2.37,27.93
17,Pacific Grove,60.8,82,90,8.05,36.62
18,Saskylakh,63.68,74,92,9.64,71.92
19,Namatanai,85.08,70,97,10.87,-3.67
20,Cangzhou,97.27,26,0,9.24,38.32
21,Bredasdorp,46.4,100,0,4.7,-34.53
22,Zalesovo,66.79,54,89,6.06,53.99
23,Kapaa,82.4,74,40,12.75,22.08
24,Port Alfred,61.83,34,0,8.32,-33.59
25,New Norfolk,54.0,79,100,1.01,-42.78
26,Jamestown,70.0,88,90,1.57,42.1
27,Gizo Government Station,83.89,78,71,12.41,-8.1
28,Lashma,55.02,79,0,4.27,54.93
29,Westport,75.2,83,90,8.05,41.14
30,Ribeira Grande,69.24,71,13,6.11,38.52
31,Hilo,80.6,65,75,11.41,19.73
32,Albany,75.0,98,44,5.55,42.6
33,Malbork,52.0,87,26,2.24,54.04
34,Castro,55.81,77,5,3.13,-24.79
35,Atuona,79.39,77,23,18.95,-9.8
36,Coyhaique,15.8,85,7,4.7,-45.58
37,Coquimbo,52.41,70,33,1.39,-29.95
38,Adrar,92.17,29,0,11.79,20.5
39,Bilma,83.3,18,0,5.08,18.69
40,Surab,81.46,31,0,0.51,28.49
41,Mawlaik,79.7,92,100,0.09,23.63
42,East London,51.8,33,0,6.93,-33.02
43,Stupino,51.8,81,15,4.47,54.9
44,Puerto Cabezas,79.29,86,34,5.55,14.04
45,Hobart,54.0,62,40,10.29,-42.88
46,Talegaon Dābhāde,75.61,82,100,4.7,18.72
47,Dāmghān,82.62,37,43,4.12,36.17
48,Vaini,75.2,83,40,8.05,-21.2
49,Guerrero Negro,65.46,85,0,15.99,27.98
50,Sosnovo-Ozerskoye,71.44,62,73,5.35,52.52
51,Ushuaia,39.2,86,75,21.92,-54.8
52,Rikitea,67.24,59,39,14.07,-23.12
53,Sinjār,82.18,17,13,1.45,36.32
54,Meadow Lake,68.0,82,90,3.36,34.8
55,Saint-Philippe,66.2,59,90,21.92,-21.36
56,San Vicente,63.93,69,0,5.57,-26.62
57,Hong Kong,91.0,63,70,10.0,22.29
58,Upernavik,44.92,78,51,8.5,72.79
59,Saint Paul Harbor,60.8,59,90,4.7,57.79
60,Cartagena del Chairá,70.75,95,100,1.5,1.33
61,Lorengau,84.72,77,72,9.75,-2.02
62,Port Lincoln,58.51,54,100,17.36,-34.73
63,Bethel,70.0,94,20,8.05,41.37
64,Ostrovnoy,62.29,81,99,13.22,68.05
65,La Ronge,69.8,77,75,8.05,55.1
66,Skjervøy,49.5,90,90,1.7,70.03
67,Shitanjing,80.24,43,50,10.51,39.23
68,Nāyudupet,78.8,88,75,3.36,13.9
69,Cherskiy,73.02,55,0,11.63,68.75
70,Uauá,63.41,90,1,8.79,-9.84
71,Los Llanos de Aridane,71.01,77,75,16.11,28.66
72,Dikson,42.82,88,0,3.2,73.51
73,Kristinestad,55.08,93,100,14.88,62.27
74,Stephenville,84.99,51,1,6.93,32.22
75,Thompson,75.2,73,20,5.82,55.74
76,Lebu,43.92,73,0,6.08,-37.62
77,São João da Barra,70.3,80,0,10.65,-21.64
78,Yulara,68.0,24,0,8.05,-25.24
79,Marzuq,76.91,61,18,7.54,14.4
80,Joshīmath,74.91,40,20,4.85,30.57
81,Airai,71.64,38,37,4.45,-8.93
82,Aksarka,60.04,55,94,10.47,66.56
83,Mataura,44.22,70,99,8.34,-46.19
84,Hokitika,47.97,73,97,6.89,-42.72
85,Punta Arenas,39.2,80,100,20.8,-53.15
86,Kargil,61.16,39,0,4.23,34.57
87,Tuktoyaktuk,62.6,51,20,14.99,69.45
88,Chopinzinho,56.03,84,0,4.56,-25.86
89,Mackay,71.6,64,74,16.11,-21.15
90,Karasburg,55.63,33,0,13.53,-28.02
91,Strijen,62.01,76,48,3.0,51.75
92,Matata,57.99,56,83,3.0,-37.88
93,Khatanga,43.39,92,100,16.17,71.97
94,George Town,86.0,83,40,5.82,5.41
95,Armizonskoye,63.52,66,66,14.88,55.95
96,Muros,60.01,85,1,1.01,42.78
97,Kachīry,69.58,59,90,14.76,53.07
98,Vila Franca do Campo,60.8,82,20,2.24,37.72
99,Provideniya,53.6,66,85,11.18,64.38
100,Zaraysk,51.01,87,2,6.26,54.77
101,Bilibino,82.51,39,62,12.55,68.05
102,Belaya Gora,92.01,26,88,6.93,68.53
103,Buraidah,87.8,52,63,3.36,26.33
104,Puerto Ayora,66.99,97,85,5.01,-0.74
105,Yellowknife,57.99,87,75,13.87,62.46
106,Mossamedes,65.91,68,0,4.52,-15.2
107,Kīratpur,89.67,53,0,10.78,29.52
108,Verkhnevilyuysk,79.79,48,80,3.76,63.45
109,Geraldton,62.6,59,0,17.22,-28.77
110,Erenhot,91.36,23,17,14.05,43.65
111,Angoche,69.35,80,14,10.2,-16.23
112,Butaritari,82.83,77,1,12.97,3.07
113,Aitape,85.78,72,34,8.21,-3.14
114,Jammalamadugu,82.4,74,75,6.93,14.83
115,Padang,84.2,74,20,2.24,-0.95
116,Haines Junction,61.5,71,73,2.19,60.75
117,Codrington,53.92,68,100,12.1,-38.27
118,Morón,51.01,94,100,5.99,-34.65
119,Abu Kamal,90.99,15,0,7.23,34.45
120,Nayoro,63.99,82,97,6.4,44.35
121,Udachny,62.6,59,75,4.47,66.42
122,Chokurdakh,79.23,45,91,3.06,70.63
123,Sitka,57.2,82,75,6.93,57.05
124,Bambous Virieux,68.0,58,71,11.99,-20.34
125,Mahébourg,66.78,69,72,24.47,-20.41
126,Coalinga,84.99,42,0,5.01,36.14
127,Kisangani,69.46,95,0,1.54,0.52
128,Kaitangata,46.99,55,100,8.01,-46.28
129,Carnarvon,75.2,38,0,10.29,-24.87
130,Warri,74.86,92,100,3.76,5.52
131,Flinders,63.0,69,0,8.99,-34.58
132,Bartica,75.2,100,20,2.24,6.4
133,Kholodnyy,80.4,35,21,3.6,62.72
134,Katsuura,81.0,79,100,1.99,35.13
135,Talcahuano,39.2,93,0,1.12,-36.72
136,Nara,86.0,66,75,5.82,34.69
137,Chok Chai,87.01,83,40,3.36,14.73
138,Uetze,62.6,63,75,2.24,52.47
139,Pevek,49.71,68,82,8.75,69.7
140,Marsh Harbour,83.08,76,0,16.31,26.54
141,Igarka,61.43,52,75,13.35,67.47
142,Çine,69.8,73,0,5.82,37.61
143,Lundazi,49.95,87,62,8.34,-12.29
144,Tuatapere,45.73,72,77,10.6,-46.13
145,Cape Town,57.2,50,0,4.7,-33.93
146,Grindavik,48.2,81,75,12.75,63.84
147,Saint-Pierre,66.2,59,90,21.92,-21.34
148,Potosí,36.73,57,8,3.91,-19.58
149,Saint George,84.99,32,1,13.87,37.1
150,San Miguel de Tucumán,46.4,87,90,3.36,-26.82
151,College,64.4,52,75,5.82,64.86
152,La Palma,69.01,68,1,6.93,33.85
153,Bonoua,75.2,100,20,4.7,5.27
154,Qaryat Sulūq,70.9,92,0,8.14,31.67
155,Marawi,84.0,80,63,5.99,8.0
156,Aykhal,62.6,59,75,4.47,66.0
157,Myitkyina,91.51,57,50,0.85,25.38
158,Riyadh,91.4,31,10,4.7,24.69
159,Kavieng,83.48,74,100,7.16,-2.57
160,Östersund,46.4,87,100,24.16,63.18
161,Isangel,80.6,78,75,12.75,-19.55
162,Santiago,42.8,87,49,4.7,-33.46
163,Chumikan,59.02,70,1,7.81,54.72
164,Natá,72.0,88,99,5.17,8.33
165,Hasaki,81.0,83,75,4.7,35.73
166,Gīdam,74.66,87,100,2.33,18.98
167,Faanui,77.34,82,17,20.56,-16.48
168,Meulaboh,81.75,73,68,2.44,4.14
169,Dehui,89.6,46,20,6.71,44.53
170,Pochutla,75.76,88,72,2.24,15.74
171,Manadhoo,79.39,83,100,17.05,5.77
172,Sémbé,69.17,92,93,3.89,1.65
173,La Romana,73.4,100,75,4.7,18.43
174,Eganville,64.4,77,1,2.59,45.53
175,Broome,70.0,88,1,4.7,42.25
176,Chapais,60.8,77,1,3.36,49.78
177,Tiksi,67.77,52,6,11.86,71.69
178,Iqaluit,53.6,58,75,8.05,63.75
179,Shimoda,78.8,88,75,3.36,34.67
180,Tual,78.82,81,12,18.92,-5.67
181,Cuamba,53.73,94,51,5.44,-14.8
182,Lexington,77.0,88,40,4.7,37.99
183,Lucapa,56.88,43,0,5.3,-8.42
184,Saldanha,48.2,70,0,1.12,-33.01
185,Qaanaaq,44.87,59,0,2.33,77.48
186,Awjilah,70.93,83,0,7.36,29.11
187,Arraial do Cabo,68.0,88,4,8.05,-22.97
188,St. George's,80.6,78,20,6.93,12.06
189,Petropavlovsk-Kamchatskiy,66.2,63,40,13.42,53.05
190,Narsaq,51.8,81,100,3.36,60.92
191,Tasiilaq,37.4,93,99,4.7,65.61
192,Skowhegan,68.0,98,58,3.87,44.77
193,Srīvardhan,82.33,78,100,4.16,18.03
194,Lata,63.0,87,3,5.82,40.16
195,Brigantine,82.4,78,1,6.93,39.41
196,Shalinskoye,64.11,55,17,8.52,55.72
197,Cape Canaveral,78.01,88,1,10.07,28.41
198,Srednekolymsk,90.05,28,2,6.46,67.45
199,Rome,68.0,88,1,3.36,43.21
200,Mahanoro,65.05,82,84,9.46,-19.9
201,Sangar,75.42,47,94,8.77,63.92
202,Ahipara,58.24,69,43,10.29,-35.17
203,North Platte,82.4,58,1,12.75,41.12
204,Allāpalli,78.15,85,100,4.03,19.42
205,Port Elizabeth,46.4,81,0,2.24,-33.92
206,Bafra,71.6,73,20,9.17,41.57
207,Constitución,46.56,82,0,3.11,-35.33
208,El Limon,71.74,88,9,1.72,10.31
209,Znamenskoye,68.02,52,0,2.71,57.13
210,Thinadhoo,83.03,69,80,6.33,0.53
211,Hithadhoo,83.12,70,92,10.96,-0.6
212,Talnakh,51.8,71,33,26.84,69.49
213,Itaituba,75.27,70,32,1.16,-4.28
214,Sisimiut,48.11,82,100,8.95,66.94
215,Quryq,81.86,43,38,3.94,43.2
216,Chhor,91.65,56,86,15.01,25.52
217,Abbotsford,64.0,72,90,12.75,49.06
218,Avarua,73.4,94,1,3.36,-21.21
219,Manzhouli,85.64,40,84,9.82,49.6
220,Margate,64.0,85,19,1.99,51.38
221,Clyde River,44.6,87,90,3.36,70.47
222,Golden,82.0,31,75,9.17,39.76
223,Papillion,82.4,78,1,6.93,41.15
224,Phalaborwa,60.8,77,19,5.82,-23.94
225,Yangi Marg`ilon,82.4,34,76,4.7,40.43
226,Pteleos,70.0,56,0,4.7,39.05
227,Harper,74.3,89,95,7.63,4.38
228,Havøysund,48.2,100,75,6.93,71.0
229,Methóni,75.99,88,0,2.51,36.82
230,San Cristobal,64.53,91,88,2.62,7.77
231,Maragogi,73.09,82,15,9.35,-9.01
232,Alta Floresta,72.41,60,8,3.27,-9.88
233,Bontang,78.94,83,95,8.05,0.13
234,Richards Bay,57.87,77,2,4.97,-28.78
235,Mitú,71.83,97,100,1.32,1.2
236,Tigre,51.01,87,90,12.75,-34.43
237,Husavik,44.6,81,90,8.05,66.04
238,Souillac,66.45,69,70,24.52,-20.52
239,Salalah,78.8,88,75,8.05,17.02
240,Mogadishu,76.78,73,84,24.54,2.04
241,Klaksvík,50.0,100,100,12.75,62.23
242,Bowen,75.2,53,40,16.11,-20.02
243,Luena,47.44,54,0,4.85,-11.78
244,Cidreira,64.94,82,92,8.16,-30.18
245,Kirakira,84.2,74,10,15.66,-10.45
246,Kitahiroshima,73.99,78,75,13.87,42.98
247,Lima,59.0,87,40,8.05,-12.04
248,Bairiki Village,87.8,70,75,12.75,1.33
249,Sayansk,75.52,50,26,5.35,54.11
250,Grand Gaube,68.0,58,53,11.99,-20.01
251,Coahuayana Viejo,77.07,88,100,1.83,18.73
252,Jõhvi,50.95,83,4,11.03,59.36
253,Departamento de Maldonado,53.6,100,90,6.93,-34.67
254,Paamiut,45.61,92,100,8.01,61.99
255,Griffith,72.0,88,40,5.55,41.53
256,Abhā,68.0,93,59,6.93,18.22
257,Pozo Colorado,60.01,74,53,7.74,-23.49
258,Lucea,82.4,69,40,3.36,18.45
259,Ponta do Sol,71.01,75,0,2.71,32.67
260,Bogo,88.5,61,100,3.69,11.05
261,Pitimbu,74.68,82,22,13.94,-7.47
262,Inhambane,63.88,80,38,8.37,-23.86
263,Half Moon Bay,66.99,93,90,6.93,37.46
264,Plettenberg Bay,66.38,28,0,8.63,-34.05
265,Tocache,70.52,86,56,0.58,-8.18
266,Nome,48.99,81,40,10.29,64.5
267,Wad Medani,80.13,57,100,14.12,14.4
268,Sola,78.8,94,90,20.13,-13.88
269,Shingū,82.4,88,75,12.75,33.73
270,Mar del Plata,53.01,100,75,11.41,-38.0
271,Drumheller,63.0,91,6,4.0,51.46
272,Rute,78.01,50,0,2.53,37.33
273,Ayan,58.12,71,70,16.53,56.45
274,Mitsamiouli,75.16,68,15,15.41,-11.38
275,Forestville,73.4,94,20,9.17,38.85
276,Asheville,69.01,96,100,1.21,35.6
277,Esim,73.53,92,94,6.67,4.87
278,Tongliao,99.59,20,0,11.63,43.61
279,Gariāband,78.8,88,75,6.93,20.64
280,Buala,85.98,70,15,10.56,-8.14
281,Nikolskoye,53.01,81,20,4.47,59.7
282,Anshun,73.72,85,100,13.29,26.25
283,Semey,73.4,40,40,11.18,50.41
284,Kavaratti,82.4,83,90,6.93,10.57
285,Antanifotsy,47.25,83,97,12.84,-19.65
286,Lakshmeshwar,75.2,94,75,6.93,15.13
287,Tabou,74.26,90,100,7.47,4.42
288,Ust'-Tarka,63.97,61,94,7.54,55.57
289,Waddān,66.25,71,0,1.83,29.16
290,Northam,62.01,99,44,4.0,51.03
291,Labuhan,83.91,62,87,4.32,-6.88
292,Ubari,70.3,29,0,4.76,26.59
293,Homer,59.0,62,1,12.75,59.64
294,Carutapera,75.94,87,77,6.2,-1.2
295,Vestmannaeyjar,50.13,83,79,10.69,63.44
296,Goderich,72.0,78,0,1.01,43.75
297,Lagoa,68.94,76,1,6.69,39.05
298,Kérouané,68.16,94,96,3.09,9.27
299,San Patricio,77.59,82,100,4.36,19.22
300,Kaniama,59.11,52,0,5.61,-7.57
301,Wilmington,82.4,74,20,4.7,34.23
302,Bonthe,75.67,89,100,10.4,7.53
303,Villa María,37.99,88,3,8.01,-32.41
304,Mujiayingzi,89.85,26,0,4.85,42.12
305,Paita,62.91,83,9,14.99,-5.09
306,Norman Wells,60.8,63,75,13.87,65.28
307,Kruisfontein,62.76,27,0,10.89,-34.0
308,High Level,66.2,72,75,3.36,58.52
309,Ucluelet,59.0,86,100,7.9,48.93
310,Kieta,86.27,64,98,5.88,-6.22
311,Fortuna,59.0,87,90,10.29,40.6
312,Hofn,47.73,62,71,13.2,64.25
313,Hervey Bay,64.99,90,61,8.99,-25.3
314,Lethem,75.2,87,59,4.65,3.38
315,Honmachi,75.2,100,75,5.82,32.5
316,Pilar,68.0,94,40,2.24,-9.6
317,Chui,64.63,95,83,5.79,-33.7
318,Kaputan,69.8,64,20,6.93,40.32
319,Morondava,67.23,61,0,9.86,-20.28
320,Caravelas,71.49,90,100,8.25,-17.71
321,Omboué,71.42,83,17,3.67,-1.57
322,Luangwa,53.24,77,5,3.78,-15.62
323,Miramar,78.8,100,1,3.36,25.99
324,Mount Isa,77.0,27,0,4.7,-20.73
325,Port Hardy,55.4,93,75,4.7,50.7
326,Rāwah,95.25,12,28,0.4,34.48
327,Kumul,81.09,40,96,6.82,42.8
328,Cayenne,75.2,100,100,2.24,4.93
329,Sokodé,69.66,95,100,2.91,8.98
330,Viedma,42.01,93,100,8.99,-40.81
331,Russell,75.2,88,90,3.36,32.35
332,Miandrivazo,62.74,54,0,2.53,-19.52
333,Le Vauclin,82.0,83,75,3.36,14.55
334,Comodoro Rivadavia,32.0,74,0,12.75,-45.87
335,Formosa do Rio Preto,66.25,66,66,4.47,-11.05
336,Oruzgan,84.09,13,0,3.91,32.83
337,Tamandaré,73.62,82,52,9.15,-8.76
338,Pisco,62.01,82,1,3.36,-13.7
339,Ust'-Omchug,73.22,39,74,5.79,61.15
340,Bayevo,70.25,60,59,10.51,53.28
341,Alakurtti,55.99,87,89,2.53,66.97
342,Lamar,80.6,83,1,5.82,33.67
343,Frontera,88.0,39,45,1.99,26.93
344,Pangnirtung,50.43,77,74,2.19,66.15
345,Krasnoural'sk,61.02,61,0,6.71,58.36
346,Bathsheba,82.4,69,75,11.41,13.22
347,Temerloh,89.89,57,98,2.55,3.45
348,Sambava,68.97,85,91,20.42,-14.27
349,Bengkulu,80.1,78,95,0.83,-3.8
350,Ishigaki,91.4,75,75,13.87,24.34
351,Kashgar,80.6,18,0,11.18,39.45
352,Bubaque,79.21,86,100,15.61,11.28
353,Keti Bandar,87.85,69,67,17.16,24.14
354,Ongandjera,51.35,44,0,9.31,-17.88
355,Akdepe,78.8,57,0,4.7,42.06
356,Maningrida,83.12,52,0,11.7,-12.07
357,Jiangyou,81.63,78,97,6.08,31.77
358,Prado,72.34,88,95,10.0,-17.34
359,Hobyo,76.6,73,75,24.81,5.35
360,Atar,89.04,43,20,9.04,20.52
361,Honningsvåg,51.8,100,90,3.36,70.98
362,Naze,89.6,75,75,19.46,28.37
363,Acaraú,76.44,86,100,11.5,-2.89
364,Suruç,77.0,36,0,5.82,36.98
365,Cabo San Lucas,87.8,33,5,12.66,22.89
366,Nishihara,89.6,66,75,9.17,26.18
367,Palmas,73.4,69,35,4.7,-10.21
368,Tromsø,48.2,93,75,6.93,69.65
369,Sergeevka,67.19,83,8,15.32,53.88
370,Longyearbyen,46.4,93,75,8.05,78.22
371,Palana,53.49,69,0,5.01,59.12
372,Sigli,84.65,64,100,1.81,5.38
373,Saint-Joseph,66.2,59,90,21.92,-21.37
374,Alice Springs,69.8,22,0,3.36,-23.7
375,Vanimo,86.56,65,16,7.85,-2.67
376,Impfondo,71.06,83,95,1.95,1.64
377,Moose Factory,68.0,72,20,8.05,51.26
378,Muisne,73.54,85,99,8.41,0.6
379,Mugumu,58.69,82,18,2.82,-1.85
380,Wanaka,40.14,70,64,4.21,-44.7
381,Marfino,55.0,81,51,4.47,55.7
382,Hambantota,77.0,100,40,14.99,6.12
383,Luganville,80.6,83,90,9.17,-15.53
384,Port Keats,84.69,32,1,5.01,-14.25
385,Nouakchott,76.66,86,0,12.57,18.09
386,Arrondissement de Bastia,75.0,73,53,3.36,42.67
387,Victor Harbor,63.0,50,6,3.0,-35.57
388,Mil'kovo,70.03,48,7,0.43,54.72
389,Yerbogachën,70.38,48,0,8.48,61.28
390,Gonder,57.29,93,91,1.72,12.6
391,Aksu,83.23,24,0,5.64,41.12
392,Bolivar,81.0,75,72,5.86,37.61
393,Te Anau,43.52,73,91,6.53,-45.42
394,Sabzawār,85.17,35,0,6.06,36.21
395,Kahului,87.8,45,40,21.92,20.89
396,Kuminskiy,65.84,52,26,5.57,58.67
397,São José da Coroa Grande,73.62,81,29,9.62,-8.9
398,Birao,68.31,93,41,3.85,10.28
399,Deer Lake,56.62,89,8,1.99,49.17
400,Lebanon,75.2,88,95,3.36,36.21
401,Vostok,72.27,62,65,6.46,46.49
402,Mēga,54.82,100,95,11.5,4.05
403,Cockburn Town,83.98,76,11,22.3,21.46
404,Almenara,65.77,89,46,1.99,-16.18
405,New Agutaya,86.34,66,100,1.19,10.56
406,Abbeville,62.6,93,90,6.93,50.1
407,Toamasina,71.6,60,75,13.87,-18.17
408,Vao,69.87,81,23,19.42,-22.67
409,Elko,75.99,24,0,11.99,41.0
410,Port Blair,84.2,74,75,3.36,11.67
411,Carora,75.27,77,11,8.5,10.18
412,Batagay-Alyta,77.34,35,0,2.39,67.8
413,Ancud,42.01,93,90,5.82,-41.87
414,Rawson,36.72,76,81,8.88,-43.3
415,Santa Rosalía,84.97,53,0,2.68,27.32
416,Barreirinhas,74.84,90,100,4.97,-2.75
417,Kapit,86.86,67,100,1.05,2.02
418,Quatre Cocos,68.0,58,68,11.99,-20.21
419,Turukhansk,58.64,64,99,7.05,65.82
420,Kerchevskiy,64.89,49,7,8.25,59.95
421,Kearney,78.8,78,1,13.87,40.7
422,Baruun-Urt,84.56,35,97,4.5,46.68
423,Zaysan,82.69,29,0,1.92,47.47
424,Saint-Ambroise,60.8,77,40,0.34,48.55
425,Ipixuna,78.8,83,83,9.17,-1.76
426,Roald,50.0,81,6,13.87,62.58
427,St. Marys,80.6,100,1,3.36,30.73
428,Ibrā’,80.11,69,47,2.89,22.69
429,Bassar,69.8,100,100,4.7,9.25
430,Najrān,82.4,37,11,6.93,17.49
431,Naifaru,79.14,84,100,16.15,5.44
432,Drovyanaya,71.6,73,75,8.95,51.58
433,Vaitape,78.26,79,17,20.96,-16.52
434,Gdov,55.26,79,0,11.59,58.74
435,Igrim,60.73,50,40,8.05,63.19
436,Almaznyy,57.2,67,22,4.47,48.04
437,The Valley,82.4,83,40,13.87,18.22
438,Kristianstad,57.0,100,100,4.7,56.03
439,Tambacounda,78.8,83,75,6.93,13.75
440,Monrovia,75.92,87,100,9.64,6.3
441,Yabassi,75.2,100,75,2.24,4.46
442,Champerico,78.37,82,99,3.15,14.3
443,Ganzhou,92.82,62,100,1.39,28.82
444,Vung Tau,79.32,80,100,3.8,10.35
445,Dakar,80.6,88,20,4.7,14.69
446,Tías,71.6,83,14,18.34,28.96
447,Altay,76.37,35,2,5.03,47.87
448,Amahai,80.58,81,72,10.47,-3.33
449,Severo-Kuril'sk,51.37,83,100,5.08,50.68
450,Portland,71.01,66,0,1.01,45.52
451,Micheweni,75.34,73,0,16.02,-4.97
452,Lompoc,60.8,77,10,9.17,34.64
453,Sakaiminato,78.8,88,75,5.82,35.55
454,Brae,48.2,93,38,5.82,60.4
455,Black River,82.4,69,40,3.36,18.03
456,Dingle,87.8,65,100,1.86,11.0
457,Mena,54.68,89,39,4.27,51.52
458,Biłgoraj,57.0,89,5,3.4,50.54
459,Aklavik,62.6,42,20,12.75,68.22
460,Makkah al Mukarramah,79.68,71,64,2.44,21.43
461,Hualmay,60.71,86,87,7.99,-11.1
462,Yongzhou,94.48,51,100,10.78,26.46
463,Luau,49.41,59,0,5.17,-10.71
464,Nosy Varika,64.67,80,20,8.9,-20.58
465,Terney,62.17,89,100,4.79,45.05
466,Isla Mujeres,84.2,83,75,8.05,21.23
467,Dauphin,68.0,94,90,9.17,51.15
468,Ponta Delgada,60.8,82,20,2.24,37.73
469,Wankyi,69.42,96,98,7.25,7.74
470,Naryan-Mar,67.91,60,2,8.57,67.67
471,Boa Vista,78.8,88,75,3.36,2.82
472,Kiryat Gat,75.0,90,1,7.25,31.61
473,Bārān,86.74,60,59,3.94,25.1
474,Bongor,74.62,86,94,2.89,10.28
475,Yima,66.06,87,98,4.47,34.74
476,Ixtapa,78.01,88,90,5.82,20.7
477,Wewak,85.55,66,78,7.67,-3.55
478,Rock Sound,83.17,77,75,18.41,24.9
479,Bloomingdale,77.0,100,1,4.7,27.89
480,Bor,61.0,93,2,4.47,56.36
481,Bara,74.5,85,100,7.43,10.37
482,Amrāvati,82.47,70,43,6.22,20.93
483,Doka,70.3,85,85,9.55,13.52
484,Sumenep,85.32,59,34,14.36,-7.02
485,Lüderitz,73.4,16,0,4.7,-26.65
486,Bandarbeyla,76.75,63,76,28.1,9.49
487,Llanes,69.01,97,23,7.43,43.42
488,Shache,90.88,12,0,7.61,38.42
489,Ulaanbaatar,71.6,56,40,2.24,47.91
490,Gobabis,39.2,55,0,1.12,-22.45
491,Gaoua,71.22,93,48,5.82,10.3
492,Bima,86.41,48,33,8.55,-8.47
493,Carnduff,77.0,92,32,8.01,49.17
494,Chauk,90.88,51,88,10.25,20.88
495,Qaqortoq,51.8,81,100,3.36,60.72
496,Mount Gambier,55.4,66,100,13.87,-37.83
497,Nioro,76.87,91,100,10.25,13.35
498,Rocha,61.75,96,100,2.59,-34.48
499,Nieuwpoort,60.8,87,68,6.93,51.12
500,Redmond,66.0,74,61,5.88,47.67
501,Port Pirie,64.4,36,0,18.34,-33.18
502,Vardø,59.0,87,56,8.05,70.37
503,Buxar,82.09,81,100,8.66,25.58
504,Yining,91.54,62,100,3.71,29.04
505,Faya,68.0,93,54,6.93,18.39
506,Dunedin,51.01,46,75,4.0,-45.87
507,Pendleton,82.4,23,1,10.29,45.67
508,Ishinomaki,77.0,73,75,10.29,38.42
509,Port Hawkesbury,64.0,100,90,2.24,45.62
510,Shubarkuduk,76.35,47,0,13.96,49.14
511,Sakakah,89.6,19,20,10.29,29.97
512,Channel-Port aux Basques,60.6,95,100,9.69,47.57
513,Beloha,57.6,80,0,9.48,-25.17
514,Visby,60.01,67,38,9.17,57.64
515,Canary Islands,71.6,73,40,32.21,28.0
516,Sumbe,68.85,87,52,2.84,-11.21
517,Burnie,48.99,83,100,8.01,-41.07
518,Keetmanshoop,55.4,26,0,10.29,-26.58
519,Houma,80.01,94,40,5.82,29.6
520,Palu,86.85,59,50,4.41,-0.89
521,Baker City,75.2,36,1,5.82,44.77
522,Falam,70.47,100,100,1.43,22.92
523,Karera,90.52,51,8,5.1,25.47
524,Marfil,71.6,64,75,11.41,21.0
525,Sidi Ali,66.43,91,0,1.1,36.1
526,Panjāb,65.1,27,0,4.72,34.39
527,São Miguel do Araguaia,69.96,41,0,3.44,-13.28
528,Kutum,70.84,79,38,16.78,14.2
529,Puerto Nariño,75.2,100,55,1.74,-3.77
530,Umluj,84.81,58,13,6.38,25.02
531,Prokhorovka,57.2,71,55,2.66,51.04
532,São Filipe,76.73,85,90,10.07,14.9
533,Kysyl-Syr,81.0,42,83,5.93,63.9
534,Nanortalik,44.65,93,100,7.83,60.14
535,Nikolayevsk-on-Amur,65.66,46,65,6.96,53.14
536,Yumen,82.47,26,100,0.76,40.28
537,San Rafael,34.72,84,27,3.89,-34.62
538,Kupang,86.0,33,20,19.46,-10.17
539,Krasnoarmeysk,64.99,46,46,3.0,51.02
540,Mastic Beach,80.6,83,75,4.7,40.77
541,Jeremoabo,63.55,93,65,3.85,-10.07
542,Sioux Falls,82.4,74,75,13.87,43.55
543,Sol'-Iletsk,68.88,72,0,11.32,51.16
544,Ekhabi,59.07,57,100,7.96,53.51
545,Ugoofaaru,79.92,82,100,16.91,5.67
546,Timrå,52.0,93,90,14.99,62.49
547,Panzhihua,77.0,61,99,1.52,26.59
548,Bullhead City,102.2,13,1,17.22,35.15
549,Baltasi,61.27,83,53,10.2,56.35
550,Nālūt,68.31,57,0,11.95,30.33
551,Hamilton,73.99,94,90,2.33,39.18
552,Huarmey,61.23,87,60,9.26,-10.07
553,Camacha,68.0,77,40,12.75,33.08
554,Solnechnyy,68.83,61,69,6.55,50.72
555,Taywarah,69.57,22,0,7.31,33.35
556,Capâo Bonito,57.06,82,0,1.97,-24.01
557,Manggar,83.07,77,76,14.07,-2.88
558,Havelock,84.99,86,56,3.0,34.88
